"id_rz_no_lectura","id_persona","razon_no_lectura"
625,29439,"Otras actividades recreativas y/o sociales"
626,29445,"Otras actividades recreativas y/o sociales"
627,29540,"Otras actividades recreativas y/o sociales"
628,29589,"Otras actividades recreativas y/o sociales"
629,29608,"Otras actividades recreativas y/o sociales"
630,29670,"Otras actividades recreativas y/o sociales"
631,29864,"Otras actividades recreativas y/o sociales"
632,30007,"Otras actividades recreativas y/o sociales"
633,30009,"Otras actividades recreativas y/o sociales"
634,30144,"Otras actividades recreativas y/o sociales"
635,30153,"Otras actividades recreativas y/o sociales"
636,30281,"Otras actividades recreativas y/o sociales"
637,30286,"Otras actividades recreativas y/o sociales"
638,30288,"Otras actividades recreativas y/o sociales"
639,30318,"Otras actividades recreativas y/o sociales"
640,30319,"Otras actividades recreativas y/o sociales"
641,30323,"Otras actividades recreativas y/o sociales"
642,30345,"Otras actividades recreativas y/o sociales"
643,30371,"Otras actividades recreativas y/o sociales"
644,30389,"Otras actividades recreativas y/o sociales"
645,30406,"Otras actividades recreativas y/o sociales"
646,30411,"Otras actividades recreativas y/o sociales"
647,30416,"Otras actividades recreativas y/o sociales"
648,30610,"Otras actividades recreativas y/o sociales"
649,30619,"Otras actividades recreativas y/o sociales"
650,30620,"Otras actividades recreativas y/o sociales"
651,30751,"Otras actividades recreativas y/o sociales"
652,30754,"Otras actividades recreativas y/o sociales"
653,30787,"Otras actividades recreativas y/o sociales"
654,30835,"Otras actividades recreativas y/o sociales"
655,30900,"Otras actividades recreativas y/o sociales"
656,30930,"Otras actividades recreativas y/o sociales"
657,30950,"Otras actividades recreativas y/o sociales"
658,30951,"Otras actividades recreativas y/o sociales"
659,30952,"Otras actividades recreativas y/o sociales"
660,30953,"Otras actividades recreativas y/o sociales"
661,30954,"Otras actividades recreativas y/o sociales"
662,30955,"Otras actividades recreativas y/o sociales"
663,30970,"Otras actividades recreativas y/o sociales"
664,30975,"Otras actividades recreativas y/o sociales"
665,31237,"Otras actividades recreativas y/o sociales"
666,31242,"Otras actividades recreativas y/o sociales"
667,31766,"Otras actividades recreativas y/o sociales"
668,31767,"Otras actividades recreativas y/o sociales"
669,32124,"Otras actividades recreativas y/o sociales"
670,32125,"Otras actividades recreativas y/o sociales"
671,32277,"Otras actividades recreativas y/o sociales"
672,32279,"Otras actividades recreativas y/o sociales"
673,32281,"Otras actividades recreativas y/o sociales"
674,32374,"Otras actividades recreativas y/o sociales"
675,32581,"Otras actividades recreativas y/o sociales"
676,32633,"Otras actividades recreativas y/o sociales"
677,32730,"Otras actividades recreativas y/o sociales"
678,32769,"Otras actividades recreativas y/o sociales"
679,32816,"Otras actividades recreativas y/o sociales"
680,32825,"Otras actividades recreativas y/o sociales"
681,32841,"Otras actividades recreativas y/o sociales"
682,32971,"Otras actividades recreativas y/o sociales"
683,32973,"Otras actividades recreativas y/o sociales"
684,33179,"Otras actividades recreativas y/o sociales"
685,33299,"Otras actividades recreativas y/o sociales"
686,33324,"Otras actividades recreativas y/o sociales"
687,33484,"Otras actividades recreativas y/o sociales"
688,33515,"Otras actividades recreativas y/o sociales"
689,33517,"Otras actividades recreativas y/o sociales"
690,33675,"Otras actividades recreativas y/o sociales"
691,33712,"Otras actividades recreativas y/o sociales"
692,33720,"Otras actividades recreativas y/o sociales"
693,33798,"Otras actividades recreativas y/o sociales"
694,34030,"Otras actividades recreativas y/o sociales"
695,34068,"Otras actividades recreativas y/o sociales"
696,34077,"Otras actividades recreativas y/o sociales"
697,34112,"Otras actividades recreativas y/o sociales"
698,34254,"Otras actividades recreativas y/o sociales"
699,34354,"Otras actividades recreativas y/o sociales"
700,34393,"Otras actividades recreativas y/o sociales"
701,34565,"Otras actividades recreativas y/o sociales"
702,34791,"Otras actividades recreativas y/o sociales"
