"id_rz_lectura","id_persona","razon_si_lectura"
449,1109,"Placer/entretenimiento"
450,1113,"Placer/entretenimiento"
451,1114,"Placer/entretenimiento"
452,1115,"Placer/entretenimiento"
453,1116,"Placer/entretenimiento"
454,1118,"Placer/entretenimiento"
455,1119,"Placer/entretenimiento"
456,1120,"Placer/entretenimiento"
457,1121,"Placer/entretenimiento"
458,1126,"Placer/entretenimiento"
459,1132,"Placer/entretenimiento"
460,1135,"Placer/entretenimiento"
461,1137,"Placer/entretenimiento"
462,1141,"Placer/entretenimiento"
463,1144,"Placer/entretenimiento"
464,1146,"Placer/entretenimiento"
465,1153,"Placer/entretenimiento"
466,1157,"Placer/entretenimiento"
467,1162,"Placer/entretenimiento"
468,1163,"Placer/entretenimiento"
469,1169,"Placer/entretenimiento"
470,1171,"Placer/entretenimiento"
471,1172,"Placer/entretenimiento"
472,1177,"Placer/entretenimiento"
473,1179,"Placer/entretenimiento"
474,1180,"Placer/entretenimiento"
475,1182,"Placer/entretenimiento"
476,1183,"Placer/entretenimiento"
477,1185,"Placer/entretenimiento"
478,1186,"Placer/entretenimiento"
479,1191,"Placer/entretenimiento"
480,1192,"Placer/entretenimiento"
481,1193,"Placer/entretenimiento"
482,1194,"Placer/entretenimiento"
483,1197,"Placer/entretenimiento"
484,1204,"Placer/entretenimiento"
485,1215,"Placer/entretenimiento"
486,1216,"Placer/entretenimiento"
487,1218,"Placer/entretenimiento"
488,1220,"Placer/entretenimiento"
489,1223,"Placer/entretenimiento"
490,1224,"Placer/entretenimiento"
491,1225,"Placer/entretenimiento"
492,1226,"Placer/entretenimiento"
493,1227,"Placer/entretenimiento"
494,1228,"Placer/entretenimiento"
495,1237,"Placer/entretenimiento"
496,1243,"Placer/entretenimiento"
497,1251,"Placer/entretenimiento"
498,1256,"Placer/entretenimiento"
499,1257,"Placer/entretenimiento"
500,1258,"Placer/entretenimiento"
501,1259,"Placer/entretenimiento"
502,1260,"Placer/entretenimiento"
503,1261,"Placer/entretenimiento"
504,1262,"Placer/entretenimiento"
505,1264,"Placer/entretenimiento"
506,1266,"Placer/entretenimiento"
507,1267,"Placer/entretenimiento"
508,1268,"Placer/entretenimiento"
509,1269,"Placer/entretenimiento"
510,1270,"Placer/entretenimiento"
511,1271,"Placer/entretenimiento"
512,1272,"Placer/entretenimiento"
513,1275,"Placer/entretenimiento"
514,1285,"Placer/entretenimiento"
515,1294,"Placer/entretenimiento"
516,1304,"Placer/entretenimiento"
517,1305,"Placer/entretenimiento"
518,1306,"Placer/entretenimiento"
519,1307,"Placer/entretenimiento"
520,1309,"Placer/entretenimiento"
521,1310,"Placer/entretenimiento"
522,1311,"Placer/entretenimiento"
523,1312,"Placer/entretenimiento"
524,1313,"Placer/entretenimiento"
525,1314,"Placer/entretenimiento"
526,1317,"Placer/entretenimiento"
527,1318,"Placer/entretenimiento"
528,1319,"Placer/entretenimiento"
529,1320,"Placer/entretenimiento"
530,1321,"Placer/entretenimiento"
531,1322,"Placer/entretenimiento"
532,1327,"Placer/entretenimiento"
533,1334,"Placer/entretenimiento"
534,1336,"Placer/entretenimiento"
535,1337,"Placer/entretenimiento"
536,1344,"Placer/entretenimiento"
537,1347,"Placer/entretenimiento"
538,1350,"Placer/entretenimiento"
539,1351,"Placer/entretenimiento"
540,1357,"Placer/entretenimiento"
541,1358,"Placer/entretenimiento"
542,1360,"Placer/entretenimiento"
543,1363,"Placer/entretenimiento"
544,1366,"Placer/entretenimiento"
545,1369,"Placer/entretenimiento"
546,1371,"Placer/entretenimiento"
547,1373,"Placer/entretenimiento"
548,1374,"Placer/entretenimiento"
549,1382,"Placer/entretenimiento"
550,1383,"Placer/entretenimiento"
551,1388,"Placer/entretenimiento"
552,1389,"Placer/entretenimiento"
553,1390,"Placer/entretenimiento"
554,1393,"Placer/entretenimiento"
555,1394,"Placer/entretenimiento"
556,1395,"Placer/entretenimiento"
557,1396,"Placer/entretenimiento"
558,1399,"Placer/entretenimiento"
559,1400,"Placer/entretenimiento"
560,1401,"Placer/entretenimiento"
561,1402,"Placer/entretenimiento"
562,1405,"Placer/entretenimiento"
563,1413,"Placer/entretenimiento"
564,1426,"Placer/entretenimiento"
565,1428,"Placer/entretenimiento"
566,1432,"Placer/entretenimiento"
567,1435,"Placer/entretenimiento"
568,1441,"Placer/entretenimiento"
569,1444,"Placer/entretenimiento"
570,1445,"Placer/entretenimiento"
571,1448,"Placer/entretenimiento"
572,1451,"Placer/entretenimiento"
573,1452,"Placer/entretenimiento"
574,1453,"Placer/entretenimiento"
575,1456,"Placer/entretenimiento"
576,1460,"Placer/entretenimiento"
577,1468,"Placer/entretenimiento"
578,1469,"Placer/entretenimiento"
579,1470,"Placer/entretenimiento"
580,1471,"Placer/entretenimiento"
581,1472,"Placer/entretenimiento"
582,1473,"Placer/entretenimiento"
583,1474,"Placer/entretenimiento"
584,1475,"Placer/entretenimiento"
585,1478,"Placer/entretenimiento"
586,1479,"Placer/entretenimiento"
587,1482,"Placer/entretenimiento"
588,1489,"Placer/entretenimiento"
589,1490,"Placer/entretenimiento"
590,1499,"Placer/entretenimiento"
591,1502,"Placer/entretenimiento"
592,1504,"Placer/entretenimiento"
593,1505,"Placer/entretenimiento"
594,1508,"Placer/entretenimiento"
595,1510,"Placer/entretenimiento"
596,1511,"Placer/entretenimiento"
597,1512,"Placer/entretenimiento"
598,1513,"Placer/entretenimiento"
599,1514,"Placer/entretenimiento"
600,1515,"Placer/entretenimiento"
601,1516,"Placer/entretenimiento"
602,1518,"Placer/entretenimiento"
603,1519,"Placer/entretenimiento"
604,1522,"Placer/entretenimiento"
605,1523,"Placer/entretenimiento"
606,1529,"Placer/entretenimiento"
607,1534,"Placer/entretenimiento"
608,1535,"Placer/entretenimiento"
609,1536,"Placer/entretenimiento"
610,1538,"Placer/entretenimiento"
611,1554,"Placer/entretenimiento"
612,1557,"Placer/entretenimiento"
613,1559,"Placer/entretenimiento"
614,1560,"Placer/entretenimiento"
615,1563,"Placer/entretenimiento"
616,1568,"Placer/entretenimiento"
617,1569,"Placer/entretenimiento"
618,1570,"Placer/entretenimiento"
619,1573,"Placer/entretenimiento"
620,1578,"Placer/entretenimiento"
621,1582,"Placer/entretenimiento"
622,1585,"Placer/entretenimiento"
623,1589,"Placer/entretenimiento"
624,1591,"Placer/entretenimiento"
625,1595,"Placer/entretenimiento"
626,1606,"Placer/entretenimiento"
627,1611,"Placer/entretenimiento"
628,1618,"Placer/entretenimiento"
629,1630,"Placer/entretenimiento"
630,1638,"Placer/entretenimiento"
631,1639,"Placer/entretenimiento"
632,1652,"Placer/entretenimiento"
633,1662,"Placer/entretenimiento"
634,1663,"Placer/entretenimiento"
635,1664,"Placer/entretenimiento"
636,1666,"Placer/entretenimiento"
637,1667,"Placer/entretenimiento"
638,1668,"Placer/entretenimiento"
639,1671,"Placer/entretenimiento"
640,1673,"Placer/entretenimiento"
641,1674,"Placer/entretenimiento"
642,1682,"Placer/entretenimiento"
643,1683,"Placer/entretenimiento"
644,1686,"Placer/entretenimiento"
645,1692,"Placer/entretenimiento"
646,1693,"Placer/entretenimiento"
647,1694,"Placer/entretenimiento"
648,1695,"Placer/entretenimiento"
649,1696,"Placer/entretenimiento"
650,1697,"Placer/entretenimiento"
651,1700,"Placer/entretenimiento"
652,1703,"Placer/entretenimiento"
653,1704,"Placer/entretenimiento"
654,1706,"Placer/entretenimiento"
655,1707,"Placer/entretenimiento"
656,1708,"Placer/entretenimiento"
657,1709,"Placer/entretenimiento"
658,1710,"Placer/entretenimiento"
659,1711,"Placer/entretenimiento"
660,1712,"Placer/entretenimiento"
661,1713,"Placer/entretenimiento"
662,1714,"Placer/entretenimiento"
663,1715,"Placer/entretenimiento"
664,1716,"Placer/entretenimiento"
665,1717,"Placer/entretenimiento"
666,1718,"Placer/entretenimiento"
667,1719,"Placer/entretenimiento"
668,1720,"Placer/entretenimiento"
